ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
1347,the supervisor said to secure the service.,Hospitality,Advanced,"['clean', 'shift', 'service']",Reported Speech,Difficult,Speaking,Secure the service.,What did the supervisor say?,Secure the service.,"['Ignore the service.', 'Do nothing with the service.']"
1348,the supervisor said to store the inspection.,Automotive,Advanced,"['engine', 'brakes', 'inspection']",Reported Speech,Difficult,Listening,Store the inspection.,What did the supervisor say?,Store the inspection.,"['Do nothing with the inspection.', 'Ignore the inspection.']"
1349,service must be check.,Hospitality,Beginner,"['workstation', 'service', 'hygiene']",Passive Voice,Easy,Writing,Check the service.,What must be done with the service?,Check the service.,"['Ignore the service.', 'Use a different service.']"
1350,customer must be inspect.,Retail,Advanced,"['checkout', 'customer', 'product']",Passive Voice,Difficult,Writing,Inspect the customer.,What must be done with the customer?,Inspect the customer.,"['Do nothing with the customer.', 'Ignore the customer.']"
1351,nurse must be clean.,Healthcare,Intermediate,"['medication', 'stored', 'nurse']",Passive Voice,Moderate,Listening,Clean the nurse.,What must be done with the nurse?,Clean the nurse.,"['Ignore the nurse.', 'Do nothing with the nurse.']"
1352,"If it is damaged, store the stored.",Healthcare,Beginner,"['patient', 'stored', 'nurse']",Conditional Sentences,Easy,Listening,Store the stored.,What happens if the it is damaged?,Store the stored.,"['Do nothing with the stored.', 'Ignore the stored.']"
1353,Please inspect the network.,IT,Advanced,"['software', 'system', 'network']",Imperative Sentences,Difficult,Reading,Inspect the network.,What should you do with the network?,Inspect the network.,"['Use a different network.', 'Ignore the network.']"
1354,nurse must be inspect.,Healthcare,Intermediate,"['patient', 'nurse', 'stored']",Passive Voice,Moderate,Listening,Inspect the nurse.,What must be done with the nurse?,Inspect the nurse.,"['Use a different nurse.', 'Do nothing with the nurse.']"
1355,Please clean the reboot.,IT,Beginner,"['hardware', 'reboot', 'network']",Imperative Sentences,Easy,Reading,Clean the reboot.,What should you do with the reboot?,Clean the reboot.,"['Ignore the reboot.', 'Use a different reboot.']"
1356,You should inspect the reboot.,IT,Advanced,"['system', 'network', 'reboot']",Modal Verbs,Difficult,Reading,Inspect the reboot.,What is recommended to do with the reboot?,Inspect the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
1357,You should clean the secured.,Construction,Intermediate,"['secured', 'equipment', 'harness']",Modal Verbs,Moderate,Speaking,Clean the secured.,What is recommended to do with the secured?,Clean the secured.,"['Use a different secured.', 'Ignore the secured.']"
1358,Please secure the checkout.,Retail,Advanced,"['customer', 'checkout', 'sales']",Imperative Sentences,Difficult,Speaking,Secure the checkout.,What should you do with the checkout?,Secure the checkout.,"['Ignore the checkout.', 'Do nothing with the checkout.']"
1359,the supervisor said to store the medication.,Healthcare,Beginner,"['nurse', 'temperature', 'medication']",Reported Speech,Easy,Reading,Store the medication.,What did the supervisor say?,Store the medication.,"['Use a different medication.', 'Ignore the medication.']"
1360,"If it is damaged, store the sales.",Retail,Beginner,"['checkout', 'customer', 'sales']",Conditional Sentences,Easy,Speaking,Store the sales.,What happens if the it is damaged?,Store the sales.,"['Ignore the sales.', 'Do nothing with the sales.']"
1361,irrigation must be secure.,Agriculture,Intermediate,"['soil', 'irrigation', 'harvest']",Passive Voice,Moderate,Reading,Secure the irrigation.,What must be done with the irrigation?,Secure the irrigation.,"['Do nothing with the irrigation.', 'Use a different irrigation.']"
1362,Please check the temperature.,Healthcare,Advanced,"['temperature', 'patient', 'stored']",Imperative Sentences,Difficult,Listening,Check the temperature.,What should you do with the temperature?,Check the temperature.,"['Do nothing with the temperature.', 'Ignore the temperature.']"
1363,Please store the clean.,Hospitality,Advanced,"['clean', 'workstation', 'service']",Imperative Sentences,Difficult,Speaking,Store the clean.,What should you do with the clean?,Store the clean.,"['Use a different clean.', 'Ignore the clean.']"
1364,Please store the hardware.,IT,Beginner,"['software', 'system', 'hardware']",Imperative Sentences,Easy,Listening,Store the hardware.,What should you do with the hardware?,Store the hardware.,"['Do nothing with the hardware.', 'Use a different hardware.']"
1365,You should clean the customer.,Retail,Advanced,"['sales', 'customer', 'product']",Modal Verbs,Difficult,Writing,Clean the customer.,What is recommended to do with the customer?,Clean the customer.,"['Do nothing with the customer.', 'Ignore the customer.']"
1366,the supervisor said to store the crop.,Agriculture,Advanced,"['soil', 'irrigation', 'crop']",Reported Speech,Difficult,Reading,Store the crop.,What did the supervisor say?,Store the crop.,"['Ignore the crop.', 'Do nothing with the crop.']"
1367,You should inspect the inventory.,Retail,Advanced,"['sales', 'customer', 'inventory']",Modal Verbs,Difficult,Speaking,Inspect the inventory.,What is recommended to do with the inventory?,Inspect the inventory.,"['Do nothing with the inventory.', 'Use a different inventory.']"
1368,Please clean the reboot.,IT,Intermediate,"['software', 'system', 'reboot']",Imperative Sentences,Moderate,Reading,Clean the reboot.,What should you do with the reboot?,Clean the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
1369,the supervisor said to inspect the secured.,Construction,Beginner,"['secured', 'equipment', 'safety']",Reported Speech,Easy,Speaking,Inspect the secured.,What did the supervisor say?,Inspect the secured.,"['Use a different secured.', 'Ignore the secured.']"
1370,the supervisor said to clean the clean.,Hospitality,Advanced,"['clean', 'hygiene', 'workstation']",Reported Speech,Difficult,Writing,Clean the clean.,What did the supervisor say?,Clean the clean.,"['Use a different clean.', 'Do nothing with the clean.']"
1371,"If it is damaged, store the hygiene.",Hospitality,Advanced,"['workstation', 'service', 'hygiene']",Conditional Sentences,Difficult,Writing,Store the hygiene.,What happens if the it is damaged?,Store the hygiene.,"['Ignore the hygiene.', 'Do nothing with the hygiene.']"
1372,You should store the network.,IT,Beginner,"['network', 'reboot', 'system']",Modal Verbs,Easy,Listening,Store the network.,What is recommended to do with the network?,Store the network.,"['Use a different network.', 'Ignore the network.']"
1373,Please secure the reboot.,IT,Beginner,"['reboot', 'network', 'software']",Imperative Sentences,Easy,Listening,Secure the reboot.,What should you do with the reboot?,Secure the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
1374,the supervisor said to store the checkout.,Retail,Intermediate,"['sales', 'product', 'checkout']",Reported Speech,Moderate,Speaking,Store the checkout.,What did the supervisor say?,Store the checkout.,"['Do nothing with the checkout.', 'Use a different checkout.']"
1375,the supervisor said to store the harvest.,Agriculture,Beginner,"['soil', 'irrigation', 'harvest']",Reported Speech,Easy,Reading,Store the harvest.,What did the supervisor say?,Store the harvest.,"['Use a different harvest.', 'Ignore the harvest.']"
1376,product must be secure.,Retail,Intermediate,"['sales', 'inventory', 'product']",Passive Voice,Moderate,Writing,Secure the product.,What must be done with the product?,Secure the product.,"['Do nothing with the product.', 'Use a different product.']"
1377,You should inspect the harness.,Construction,Beginner,"['safety', 'harness', 'tools']",Modal Verbs,Easy,Speaking,Inspect the harness.,What is recommended to do with the harness?,Inspect the harness.,"['Do nothing with the harness.', 'Use a different harness.']"
1378,"If it is damaged, inspect the nurse.",Healthcare,Beginner,"['stored', 'nurse', 'temperature']",Conditional Sentences,Easy,Listening,Inspect the nurse.,What happens if the it is damaged?,Inspect the nurse.,"['Ignore the nurse.', 'Use a different nurse.']"
1379,the supervisor said to secure the harness.,Construction,Advanced,"['safety', 'harness', 'equipment']",Reported Speech,Difficult,Reading,Secure the harness.,What did the supervisor say?,Secure the harness.,"['Do nothing with the harness.', 'Use a different harness.']"
1380,Please check the workstation.,Hospitality,Beginner,"['clean', 'workstation', 'hygiene']",Imperative Sentences,Easy,Speaking,Check the workstation.,What should you do with the workstation?,Check the workstation.,"['Ignore the workstation.', 'Do nothing with the workstation.']"
1381,the supervisor said to check the yield.,Agriculture,Advanced,"['soil', 'irrigation', 'yield']",Reported Speech,Difficult,Writing,Check the yield.,What did the supervisor say?,Check the yield.,"['Use a different yield.', 'Do nothing with the yield.']"
1382,"If it is damaged, inspect the checkout.",Retail,Advanced,"['checkout', 'inventory', 'customer']",Conditional Sentences,Difficult,Speaking,Inspect the checkout.,What happens if the it is damaged?,Inspect the checkout.,"['Do nothing with the checkout.', 'Ignore the checkout.']"
1383,You should inspect the reboot.,IT,Beginner,"['reboot', 'network', 'system']",Modal Verbs,Easy,Listening,Inspect the reboot.,What is recommended to do with the reboot?,Inspect the reboot.,"['Do nothing with the reboot.', 'Ignore the reboot.']"
1384,the supervisor said to secure the product.,Retail,Beginner,"['inventory', 'product', 'customer']",Reported Speech,Easy,Speaking,Secure the product.,What did the supervisor say?,Secure the product.,"['Do nothing with the product.', 'Ignore the product.']"
1385,Please clean the engine.,Automotive,Advanced,"['engine', 'oil', 'inspection']",Imperative Sentences,Difficult,Listening,Clean the engine.,What should you do with the engine?,Clean the engine.,"['Do nothing with the engine.', 'Ignore the engine.']"
1386,You should check the crop.,Agriculture,Intermediate,"['soil', 'crop', 'harvest']",Modal Verbs,Moderate,Writing,Check the crop.,What is recommended to do with the crop?,Check the crop.,"['Use a different crop.', 'Ignore the crop.']"
1387,Please secure the yield.,Agriculture,Beginner,"['yield', 'soil', 'crop']",Imperative Sentences,Easy,Reading,Secure the yield.,What should you do with the yield?,Secure the yield.,"['Do nothing with the yield.', 'Ignore the yield.']"
1388,You should inspect the system.,IT,Advanced,"['system', 'software', 'reboot']",Modal Verbs,Difficult,Reading,Inspect the system.,What is recommended to do with the system?,Inspect the system.,"['Do nothing with the system.', 'Use a different system.']"
1389,"If it is damaged, check the hygiene.",Hospitality,Intermediate,"['workstation', 'hygiene', 'shift']",Conditional Sentences,Moderate,Speaking,Check the hygiene.,What happens if the it is damaged?,Check the hygiene.,"['Do nothing with the hygiene.', 'Ignore the hygiene.']"
1390,Please inspect the equipment.,Construction,Advanced,"['harness', 'secured', 'equipment']",Imperative Sentences,Difficult,Reading,Inspect the equipment.,What should you do with the equipment?,Inspect the equipment.,"['Use a different equipment.', 'Do nothing with the equipment.']"
1391,sales must be inspect.,Retail,Advanced,"['sales', 'customer', 'product']",Passive Voice,Difficult,Speaking,Inspect the sales.,What must be done with the sales?,Inspect the sales.,"['Do nothing with the sales.', 'Ignore the sales.']"
1392,You should store the shift.,Hospitality,Beginner,"['workstation', 'hygiene', 'shift']",Modal Verbs,Easy,Speaking,Store the shift.,What is recommended to do with the shift?,Store the shift.,"['Use a different shift.', 'Ignore the shift.']"
1393,You should inspect the safety.,Construction,Beginner,"['tools', 'safety', 'equipment']",Modal Verbs,Easy,Speaking,Inspect the safety.,What is recommended to do with the safety?,Inspect the safety.,"['Ignore the safety.', 'Use a different safety.']"
1394,Please inspect the network.,IT,Intermediate,"['network', 'system', 'reboot']",Imperative Sentences,Moderate,Listening,Inspect the network.,What should you do with the network?,Inspect the network.,"['Ignore the network.', 'Do nothing with the network.']"
1395,You should inspect the harness.,Construction,Advanced,"['equipment', 'harness', 'secured']",Modal Verbs,Difficult,Speaking,Inspect the harness.,What is recommended to do with the harness?,Inspect the harness.,"['Do nothing with the harness.', 'Use a different harness.']"
1396,the supervisor said to clean the soil.,Agriculture,Intermediate,"['yield', 'crop', 'soil']",Reported Speech,Moderate,Reading,Clean the soil.,What did the supervisor say?,Clean the soil.,"['Use a different soil.', 'Do nothing with the soil.']"
1397,Please store the shift.,Hospitality,Beginner,"['workstation', 'service', 'shift']",Imperative Sentences,Easy,Writing,Store the shift.,What should you do with the shift?,Store the shift.,"['Use a different shift.', 'Ignore the shift.']"
1398,You should secure the harness.,Construction,Advanced,"['harness', 'safety', 'equipment']",Modal Verbs,Difficult,Speaking,Secure the harness.,What is recommended to do with the harness?,Secure the harness.,"['Use a different harness.', 'Do nothing with the harness.']"
1399,the supervisor said to store the secured.,Construction,Advanced,"['equipment', 'safety', 'secured']",Reported Speech,Difficult,Speaking,Store the secured.,What did the supervisor say?,Store the secured.,"['Use a different secured.', 'Do nothing with the secured.']"
1400,"If it is damaged, secure the sales.",Retail,Beginner,"['sales', 'customer', 'checkout']",Conditional Sentences,Easy,Writing,Secure the sales.,What happens if the it is damaged?,Secure the sales.,"['Do nothing with the sales.', 'Ignore the sales.']"
1401,safety must be secure.,Construction,Beginner,"['harness', 'secured', 'safety']",Passive Voice,Easy,Reading,Secure the safety.,What must be done with the safety?,Secure the safety.,"['Use a different safety.', 'Ignore the safety.']"
1402,"If it is damaged, clean the tools.",Construction,Beginner,"['tools', 'equipment', 'secured']",Conditional Sentences,Easy,Reading,Clean the tools.,What happens if the it is damaged?,Clean the tools.,"['Use a different tools.', 'Do nothing with the tools.']"
1403,medication must be inspect.,Healthcare,Beginner,"['medication', 'stored', 'temperature']",Passive Voice,Easy,Listening,Inspect the medication.,What must be done with the medication?,Inspect the medication.,"['Ignore the medication.', 'Do nothing with the medication.']"
1404,You should inspect the reboot.,IT,Intermediate,"['software', 'reboot', 'system']",Modal Verbs,Moderate,Listening,Inspect the reboot.,What is recommended to do with the reboot?,Inspect the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
1405,Please check the harness.,Construction,Advanced,"['harness', 'safety', 'secured']",Imperative Sentences,Difficult,Speaking,Check the harness.,What should you do with the harness?,Check the harness.,"['Use a different harness.', 'Ignore the harness.']"
1406,You should check the tools.,Construction,Advanced,"['equipment', 'secured', 'tools']",Modal Verbs,Difficult,Speaking,Check the tools.,What is recommended to do with the tools?,Check the tools.,"['Ignore the tools.', 'Do nothing with the tools.']"
1407,You should inspect the harness.,Construction,Intermediate,"['tools', 'harness', 'secured']",Modal Verbs,Moderate,Speaking,Inspect the harness.,What is recommended to do with the harness?,Inspect the harness.,"['Use a different harness.', 'Ignore the harness.']"
1408,Please store the soil.,Agriculture,Advanced,"['soil', 'yield', 'crop']",Imperative Sentences,Difficult,Reading,Store the soil.,What should you do with the soil?,Store the soil.,"['Use a different soil.', 'Ignore the soil.']"
1409,Please inspect the soil.,Agriculture,Intermediate,"['crop', 'irrigation', 'soil']",Imperative Sentences,Moderate,Reading,Inspect the soil.,What should you do with the soil?,Inspect the soil.,"['Ignore the soil.', 'Use a different soil.']"
1410,You should inspect the stored.,Healthcare,Advanced,"['stored', 'medication', 'patient']",Modal Verbs,Difficult,Listening,Inspect the stored.,What is recommended to do with the stored?,Inspect the stored.,"['Use a different stored.', 'Do nothing with the stored.']"
1411,Please store the equipment.,Construction,Beginner,"['equipment', 'safety', 'harness']",Imperative Sentences,Easy,Speaking,Store the equipment.,What should you do with the equipment?,Store the equipment.,"['Do nothing with the equipment.', 'Use a different equipment.']"
1412,yield must be check.,Agriculture,Advanced,"['soil', 'irrigation', 'yield']",Passive Voice,Difficult,Writing,Check the yield.,What must be done with the yield?,Check the yield.,"['Do nothing with the yield.', 'Ignore the yield.']"
1413,You should check the oil.,Automotive,Advanced,"['inspection', 'oil', 'brakes']",Modal Verbs,Difficult,Reading,Check the oil.,What is recommended to do with the oil?,Check the oil.,"['Ignore the oil.', 'Do nothing with the oil.']"
1414,You should inspect the equipment.,Construction,Beginner,"['equipment', 'tools', 'secured']",Modal Verbs,Easy,Reading,Inspect the equipment.,What is recommended to do with the equipment?,Inspect the equipment.,"['Use a different equipment.', 'Ignore the equipment.']"
1415,You should clean the software.,IT,Intermediate,"['reboot', 'software', 'system']",Modal Verbs,Moderate,Listening,Clean the software.,What is recommended to do with the software?,Clean the software.,"['Use a different software.', 'Do nothing with the software.']"
1416,temperature must be clean.,Healthcare,Intermediate,"['temperature', 'nurse', 'medication']",Passive Voice,Moderate,Listening,Clean the temperature.,What must be done with the temperature?,Clean the temperature.,"['Do nothing with the temperature.', 'Ignore the temperature.']"
1417,"If it is damaged, check the system.",IT,Advanced,"['network', 'system', 'hardware']",Conditional Sentences,Difficult,Reading,Check the system.,What happens if the it is damaged?,Check the system.,"['Use a different system.', 'Do nothing with the system.']"
1418,Please clean the inspection.,Automotive,Intermediate,"['repair', 'inspection', 'oil']",Imperative Sentences,Moderate,Reading,Clean the inspection.,What should you do with the inspection?,Clean the inspection.,"['Ignore the inspection.', 'Do nothing with the inspection.']"
1419,harvest must be clean.,Agriculture,Intermediate,"['soil', 'harvest', 'crop']",Passive Voice,Moderate,Writing,Clean the harvest.,What must be done with the harvest?,Clean the harvest.,"['Ignore the harvest.', 'Do nothing with the harvest.']"
1420,the supervisor said to inspect the brakes.,Automotive,Beginner,"['brakes', 'engine', 'oil']",Reported Speech,Easy,Listening,Inspect the brakes.,What did the supervisor say?,Inspect the brakes.,"['Use a different brakes.', 'Do nothing with the brakes.']"
1421,You should check the checkout.,Retail,Beginner,"['checkout', 'customer', 'product']",Modal Verbs,Easy,Writing,Check the checkout.,What is recommended to do with the checkout?,Check the checkout.,"['Do nothing with the checkout.', 'Use a different checkout.']"
1422,Please inspect the service.,Hospitality,Intermediate,"['service', 'hygiene', 'clean']",Imperative Sentences,Moderate,Speaking,Inspect the service.,What should you do with the service?,Inspect the service.,"['Do nothing with the service.', 'Ignore the service.']"
1423,Please check the oil.,Automotive,Intermediate,"['repair', 'brakes', 'oil']",Imperative Sentences,Moderate,Listening,Check the oil.,What should you do with the oil?,Check the oil.,"['Ignore the oil.', 'Do nothing with the oil.']"
1424,irrigation must be inspect.,Agriculture,Advanced,"['yield', 'irrigation', 'harvest']",Passive Voice,Difficult,Writing,Inspect the irrigation.,What must be done with the irrigation?,Inspect the irrigation.,"['Do nothing with the irrigation.', 'Use a different irrigation.']"
1425,the supervisor said to inspect the hygiene.,Hospitality,Beginner,"['workstation', 'hygiene', 'shift']",Reported Speech,Easy,Writing,Inspect the hygiene.,What did the supervisor say?,Inspect the hygiene.,"['Use a different hygiene.', 'Ignore the hygiene.']"
1426,Please secure the sales.,Retail,Advanced,"['customer', 'checkout', 'sales']",Imperative Sentences,Difficult,Writing,Secure the sales.,What should you do with the sales?,Secure the sales.,"['Ignore the sales.', 'Do nothing with the sales.']"
1427,"If it is damaged, secure the brakes.",Automotive,Beginner,"['brakes', 'oil', 'repair']",Conditional Sentences,Easy,Listening,Secure the brakes.,What happens if the it is damaged?,Secure the brakes.,"['Use a different brakes.', 'Ignore the brakes.']"
1428,"If it is damaged, check the sales.",Retail,Beginner,"['customer', 'sales', 'product']",Conditional Sentences,Easy,Writing,Check the sales.,What happens if the it is damaged?,Check the sales.,"['Do nothing with the sales.', 'Use a different sales.']"
1429,Please secure the brakes.,Automotive,Advanced,"['brakes', 'engine', 'repair']",Imperative Sentences,Difficult,Listening,Secure the brakes.,What should you do with the brakes?,Secure the brakes.,"['Use a different brakes.', 'Do nothing with the brakes.']"
1430,"If it is damaged, clean the safety.",Construction,Advanced,"['tools', 'safety', 'equipment']",Conditional Sentences,Difficult,Speaking,Clean the safety.,What happens if the it is damaged?,Clean the safety.,"['Ignore the safety.', 'Do nothing with the safety.']"
1431,equipment must be inspect.,Construction,Beginner,"['safety', 'harness', 'equipment']",Passive Voice,Easy,Reading,Inspect the equipment.,What must be done with the equipment?,Inspect the equipment.,"['Ignore the equipment.', 'Do nothing with the equipment.']"
1432,Please store the irrigation.,Agriculture,Beginner,"['irrigation', 'crop', 'yield']",Imperative Sentences,Easy,Reading,Store the irrigation.,What should you do with the irrigation?,Store the irrigation.,"['Ignore the irrigation.', 'Do nothing with the irrigation.']"
1433,Please clean the software.,IT,Advanced,"['software', 'system', 'network']",Imperative Sentences,Difficult,Listening,Clean the software.,What should you do with the software?,Clean the software.,"['Do nothing with the software.', 'Use a different software.']"
1434,You should store the safety.,Construction,Advanced,"['harness', 'safety', 'equipment']",Modal Verbs,Difficult,Speaking,Store the safety.,What is recommended to do with the safety?,Store the safety.,"['Ignore the safety.', 'Use a different safety.']"
1435,repair must be check.,Automotive,Beginner,"['repair', 'oil', 'engine']",Passive Voice,Easy,Listening,Check the repair.,What must be done with the repair?,Check the repair.,"['Use a different repair.', 'Ignore the repair.']"
1436,"If it is damaged, inspect the medication.",Healthcare,Intermediate,"['medication', 'patient', 'stored']",Conditional Sentences,Moderate,Listening,Inspect the medication.,What happens if the it is damaged?,Inspect the medication.,"['Use a different medication.', 'Ignore the medication.']"
1437,Please secure the reboot.,IT,Advanced,"['software', 'reboot', 'hardware']",Imperative Sentences,Difficult,Listening,Secure the reboot.,What should you do with the reboot?,Secure the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
1438,You should check the repair.,Automotive,Beginner,"['repair', 'engine', 'oil']",Modal Verbs,Easy,Reading,Check the repair.,What is recommended to do with the repair?,Check the repair.,"['Do nothing with the repair.', 'Use a different repair.']"
1439,the supervisor said to inspect the safety.,Construction,Beginner,"['harness', 'safety', 'equipment']",Reported Speech,Easy,Speaking,Inspect the safety.,What did the supervisor say?,Inspect the safety.,"['Use a different safety.', 'Do nothing with the safety.']"
1440,"If it is damaged, inspect the network.",IT,Beginner,"['hardware', 'reboot', 'network']",Conditional Sentences,Easy,Reading,Inspect the network.,What happens if the it is damaged?,Inspect the network.,"['Ignore the network.', 'Do nothing with the network.']"
1441,"If it is damaged, check the sales.",Retail,Advanced,"['checkout', 'customer', 'sales']",Conditional Sentences,Difficult,Writing,Check the sales.,What happens if the it is damaged?,Check the sales.,"['Ignore the sales.', 'Do nothing with the sales.']"
1442,You should clean the sales.,Retail,Beginner,"['customer', 'inventory', 'sales']",Modal Verbs,Easy,Writing,Clean the sales.,What is recommended to do with the sales?,Clean the sales.,"['Ignore the sales.', 'Use a different sales.']"
1443,Please check the network.,IT,Beginner,"['software', 'network', 'hardware']",Imperative Sentences,Easy,Reading,Check the network.,What should you do with the network?,Check the network.,"['Use a different network.', 'Do nothing with the network.']"
1444,"If it is damaged, secure the inspection.",Automotive,Advanced,"['engine', 'brakes', 'inspection']",Conditional Sentences,Difficult,Listening,Secure the inspection.,What happens if the it is damaged?,Secure the inspection.,"['Use a different inspection.', 'Do nothing with the inspection.']"
1445,the supervisor said to inspect the inspection.,Automotive,Intermediate,"['inspection', 'repair', 'brakes']",Reported Speech,Moderate,Listening,Inspect the inspection.,What did the supervisor say?,Inspect the inspection.,"['Ignore the inspection.', 'Do nothing with the inspection.']"
1446,Please inspect the tools.,Construction,Beginner,"['safety', 'equipment', 'tools']",Imperative Sentences,Easy,Reading,Inspect the tools.,What should you do with the tools?,Inspect the tools.,"['Ignore the tools.', 'Use a different tools.']"
1447,the supervisor said to clean the oil.,Automotive,Beginner,"['inspection', 'oil', 'repair']",Reported Speech,Easy,Listening,Clean the oil.,What did the supervisor say?,Clean the oil.,"['Ignore the oil.', 'Do nothing with the oil.']"
1448,equipment must be inspect.,Construction,Advanced,"['secured', 'equipment', 'safety']",Passive Voice,Difficult,Reading,Inspect the equipment.,What must be done with the equipment?,Inspect the equipment.,"['Ignore the equipment.', 'Use a different equipment.']"
1449,the supervisor said to store the harness.,Construction,Advanced,"['equipment', 'tools', 'harness']",Reported Speech,Difficult,Reading,Store the harness.,What did the supervisor say?,Store the harness.,"['Ignore the harness.', 'Use a different harness.']"
1450,Please secure the network.,IT,Advanced,"['system', 'network', 'reboot']",Imperative Sentences,Difficult,Listening,Secure the network.,What should you do with the network?,Secure the network.,"['Use a different network.', 'Do nothing with the network.']"
1451,You should check the oil.,Automotive,Beginner,"['oil', 'inspection', 'engine']",Modal Verbs,Easy,Reading,Check the oil.,What is recommended to do with the oil?,Check the oil.,"['Use a different oil.', 'Do nothing with the oil.']"
1452,You should check the harness.,Construction,Beginner,"['safety', 'secured', 'harness']",Modal Verbs,Easy,Reading,Check the harness.,What is recommended to do with the harness?,Check the harness.,"['Use a different harness.', 'Do nothing with the harness.']"
1453,Please check the hardware.,IT,Advanced,"['software', 'hardware', 'network']",Imperative Sentences,Difficult,Reading,Check the hardware.,What should you do with the hardware?,Check the hardware.,"['Ignore the hardware.', 'Do nothing with the hardware.']"
1454,the supervisor said to check the customer.,Retail,Beginner,"['customer', 'inventory', 'sales']",Reported Speech,Easy,Speaking,Check the customer.,What did the supervisor say?,Check the customer.,"['Use a different customer.', 'Ignore the customer.']"
1455,You should check the tools.,Construction,Advanced,"['safety', 'tools', 'equipment']",Modal Verbs,Difficult,Speaking,Check the tools.,What is recommended to do with the tools?,Check the tools.,"['Ignore the tools.', 'Do nothing with the tools.']"
1456,"If it is damaged, check the hygiene.",Hospitality,Advanced,"['workstation', 'hygiene', 'clean']",Conditional Sentences,Difficult,Writing,Check the hygiene.,What happens if the it is damaged?,Check the hygiene.,"['Ignore the hygiene.', 'Do nothing with the hygiene.']"
1457,"If it is damaged, clean the stored.",Healthcare,Intermediate,"['nurse', 'stored', 'medication']",Conditional Sentences,Moderate,Listening,Clean the stored.,What happens if the it is damaged?,Clean the stored.,"['Use a different stored.', 'Do nothing with the stored.']"
1458,You should secure the medication.,Healthcare,Beginner,"['medication', 'temperature', 'stored']",Modal Verbs,Easy,Listening,Secure the medication.,What is recommended to do with the medication?,Secure the medication.,"['Do nothing with the medication.', 'Use a different medication.']"
1459,You should secure the oil.,Automotive,Beginner,"['oil', 'repair', 'engine']",Modal Verbs,Easy,Listening,Secure the oil.,What is recommended to do with the oil?,Secure the oil.,"['Use a different oil.', 'Do nothing with the oil.']"
1460,You should inspect the tools.,Construction,Intermediate,"['secured', 'harness', 'tools']",Modal Verbs,Moderate,Speaking,Inspect the tools.,What is recommended to do with the tools?,Inspect the tools.,"['Do nothing with the tools.', 'Ignore the tools.']"
1461,"If it is damaged, secure the equipment.",Construction,Intermediate,"['safety', 'harness', 'equipment']",Conditional Sentences,Moderate,Speaking,Secure the equipment.,What happens if the it is damaged?,Secure the equipment.,"['Ignore the equipment.', 'Do nothing with the equipment.']"
1462,"If it is damaged, clean the crop.",Agriculture,Intermediate,"['yield', 'harvest', 'crop']",Conditional Sentences,Moderate,Writing,Clean the crop.,What happens if the it is damaged?,Clean the crop.,"['Ignore the crop.', 'Use a different crop.']"
1463,the supervisor said to clean the hardware.,IT,Advanced,"['hardware', 'system', 'software']",Reported Speech,Difficult,Reading,Clean the hardware.,What did the supervisor say?,Clean the hardware.,"['Ignore the hardware.', 'Use a different hardware.']"
1464,You should inspect the medication.,Healthcare,Beginner,"['temperature', 'medication', 'patient']",Modal Verbs,Easy,Reading,Inspect the medication.,What is recommended to do with the medication?,Inspect the medication.,"['Use a different medication.', 'Ignore the medication.']"
1465,"If it is damaged, secure the shift.",Hospitality,Beginner,"['service', 'workstation', 'shift']",Conditional Sentences,Easy,Speaking,Secure the shift.,What happens if the it is damaged?,Secure the shift.,"['Do nothing with the shift.', 'Ignore the shift.']"
1466,"If it is damaged, check the inventory.",Retail,Intermediate,"['customer', 'inventory', 'sales']",Conditional Sentences,Moderate,Writing,Check the inventory.,What happens if the it is damaged?,Check the inventory.,"['Do nothing with the inventory.', 'Use a different inventory.']"
1467,You should inspect the harvest.,Agriculture,Beginner,"['harvest', 'crop', 'soil']",Modal Verbs,Easy,Reading,Inspect the harvest.,What is recommended to do with the harvest?,Inspect the harvest.,"['Do nothing with the harvest.', 'Use a different harvest.']"
1468,"If it is damaged, check the tools.",Construction,Advanced,"['harness', 'tools', 'equipment']",Conditional Sentences,Difficult,Speaking,Check the tools.,What happens if the it is damaged?,Check the tools.,"['Do nothing with the tools.', 'Use a different tools.']"
1469,You should store the stored.,Healthcare,Intermediate,"['nurse', 'stored', 'patient']",Modal Verbs,Moderate,Listening,Store the stored.,What is recommended to do with the stored?,Store the stored.,"['Use a different stored.', 'Do nothing with the stored.']"
1470,"If it is damaged, store the inventory.",Retail,Beginner,"['sales', 'inventory', 'product']",Conditional Sentences,Easy,Writing,Store the inventory.,What happens if the it is damaged?,Store the inventory.,"['Do nothing with the inventory.', 'Use a different inventory.']"
1471,the supervisor said to store the product.,Retail,Intermediate,"['customer', 'checkout', 'product']",Reported Speech,Moderate,Writing,Store the product.,What did the supervisor say?,Store the product.,"['Use a different product.', 'Ignore the product.']"
